,0,1,2,3
2716,Gyro,-6.40,-5.62,4.29
2722,Gyro,-4.83,10.07,4.21
2728,Gyro,1.96,-7.35,-1.96
2734,Gyro,-1.08,-3.00,0.62
2740,Gyro,3.03,1.65,-0.62
2746,Gyro,-0.16,0.44,0.44
2752,Gyro,-0.66,-3.61,-0.13
2758,Gyro,-0.52,1.21,-0.17
2764,Gyro,7.11,0.47,-4.15
2770,Gyro,0.64,5.53,-0.93
2776,Gyro,2.40,-0.77,-0.92
2782,Gyro,-5.65,-5.11,0.43
2788,Gyro,-9.17,-0.25,6.16
2794,Gyro,-1.35,-7.01,2.02
2800,Gyro,-2.62,-0.67,1.85
2806,Gyro,4.40,-4.45,-1.15
2812,Gyro,3.88,-3.15,-2.55
2818,Gyro,0.62,1.52,-3.10
2824,Gyro,-4.20,-3.54,1.55
2830,Gyro,-3.38,-6.44,-1.14
2836,Gyro,-2.88,-0.81,0.24
2842,Gyro,-1.84,13.93,6.83
2848,Gyro,-0.25,-3.71,-0.67
2854,Gyro,-0.07,-1.47,3.66
2860,Gyro,-4.65,1.41,4.44
2866,Gyro,-5.45,-29.82,8.81
2872,Gyro,3.96,-3.28,7.48
2878,Gyro,-6.91,10.97,-0.66
2884,Gyro,-9.85,0.11,-5.51
2890,Gyro,15.26,-22.40,8.00
2896,Gyro,5.62,14.09,5.97
2902,Gyro,0.66,35.51,5.90
2908,Gyro,13.47,5.92,-1.14
2914,Gyro,3.91,-8.80,-2.37
2920,Gyro,-2.41,-7.96,7.71
2926,Gyro,1.17,-7.52,-3.37
2932,Gyro,3.05,-9.14,1.78
2938,Gyro,2.10,5.22,-1.28
2944,Gyro,-1.48,-4.59,-2.39
2950,Gyro,-7.65,-8.25,0.16
2956,Gyro,-13.10,-12.18,-2.74
2962,Gyro,19.23,-3.79,-0.87
2968,Gyro,-0.03,-2.15,2.10
2974,Gyro,1.45,1.92,-2.20
2980,Gyro,5.08,2.80,-0.40
2986,Gyro,-2.33,-3.60,8.69
2992,Gyro,1.33,4.03,-0.46
2998,Gyro,6.30,2.24,-0.63
3004,Gyro,4.55,5.90,-1.77
3010,Gyro,-1.83,-0.16,2.02
3016,Gyro,2.04,-1.38,-0.86
3022,Gyro,-13.51,-3.15,-3.51
3028,Gyro,-3.93,2.06,5.07
3034,Gyro,1.19,-0.94,1.30
3040,Gyro,-3.74,1.44,1.07
3046,Gyro,5.22,-9.83,7.97
3052,Gyro,-2.16,1.17,2.75
3058,Gyro,4.63,2.56,-0.17
3064,Gyro,-0.40,5.17,-0.03
3070,Gyro,-1.61,0.62,0.06
3076,Gyro,0.57,-0.62,0.59
3082,Gyro,1.08,-6.00,0.13
3088,Gyro,-3.67,14.18,2.91
3094,Gyro,6.30,12.44,3.59
3100,Gyro,0.89,1.84,4.19
3106,Gyro,-1.25,1.08,3.10
3112,Gyro,0.18,1.54,2.20
3118,Gyro,-1.15,-0.01,-0.91
3124,Gyro,-0.83,-0.63,-1.01
3130,Gyro,1.64,-0.93,-1.79
3136,Gyro,-0.09,-2.06,-0.31
3142,Gyro,1.74,1.59,0.14
3148,Gyro,0.55,-0.32,-0.82
3154,Gyro,-0.80,0.19,0.57
3160,Gyro,2.53,-4.12,-3.09
3166,Gyro,2.89,7.87,2.83
3172,Gyro,2.75,2.57,-0.68
3178,Gyro,3.97,-0.35,-3.01
3184,Gyro,-4.02,-2.14,-0.52
3190,Gyro,-0.17,0.30,-1.04
3196,Gyro,0.36,-1.41,-0.77
3202,Gyro,-0.27,-8.27,-3.75
3208,Gyro,9.33,-3.21,-12.13
3214,Gyro,9.62,-3.55,-7.71
3220,Gyro,1.11,3.07,-1.73
3226,Gyro,1.19,5.65,4.46
3232,Gyro,-28.89,-14.13,10.74
3238,Gyro,6.14,0.98,3.41
3244,Gyro,2.32,3.72,-1.52
3250,Gyro,2.15,-1.18,-2.06
3256,Gyro,1.27,1.03,-2.39
3262,Gyro,-7.09,5.41,3.65
3268,Gyro,1.74,-4.85,-1.82
3274,Gyro,6.11,2.93,-2.95
3280,Gyro,7.09,1.37,-1.47
3286,Gyro,1.96,-2.40,-5.49
3292,Gyro,-7.40,-1.78,-7.49
3298,Gyro,15.28,20.14,-13.49
3304,Gyro,-2.25,38.58,-6.63
3310,Gyro,23.78,20.19,-11.27
3316,Gyro,2.69,1.59,2.65
3322,Gyro,-2.26,-6.03,-0.93
3328,Gyro,-1.15,-9.76,2.08
3334,Gyro,-14.37,-8.70,8.23
3340,Gyro,1.12,-9.01,-0.41
3346,Gyro,4.36,3.15,0.36
3352,Gyro,1.11,1.85,-1.33
3358,Gyro,-0.45,0.54,-3.02
3364,Gyro,-3.76,-3.29,1.87
3370,Gyro,-2.61,-6.76,1.49
3376,Gyro,-1.61,6.38,1.14
3382,Gyro,12.61,7.13,1.84
3388,Gyro,-0.14,-7.84,1.62
3394,Gyro,9.80,-5.22,-4.78
3400,Gyro,8.96,12.59,7.55
3406,Gyro,10.51,25.17,18.64
3412,Gyro,1.71,-8.59,3.36
3418,Gyro,-12.65,4.12,9.45
3424,Gyro,22.21,-6.94,-20.50
3430,Gyro,-1.43,5.03,19.58
3436,Gyro,2.14,3.14,-14.04
3442,Gyro,-13.93,10.21,-5.54
3448,Gyro,-4.92,-26.04,6.38
3454,Gyro,-19.44,0.41,2.44
3460,Gyro,-0.95,-16.96,3.52
3466,Gyro,0.86,-12.03,24.53
3472,Gyro,-5.24,-28.54,7.34
3478,Gyro,-32.93,-20.92,18.09
3484,Gyro,3.45,25.98,3.71
